,u_v,d_v,L_m,L_p,s_p,c_p,b_p,g
0,0.795943,0.795943,-1.59189,-6.01264,2.21085,2.66154,2.16242,2.23928
1,0.622344,0.622344,-1.24469,-4.09671,1.42612,1.28751,0.798657,1.16417
2,0.46238,0.46238,-0.924759,-2.99265,1.03398,0.676982,0.371968,0.757503
3,0.306987,0.306987,-0.613974,-1.77498,0.58051,0.212456,0.101597,0.361033
4,0.244614,0.244614,-0.489229,-1.06317,0.28697,0.0607043,0.0264528,0.146372
5,0.19802,0.19802,-0.39604,-0.633642,0.118801,0.0141965,0.00581109,0.0476575
6,0.147516,0.147516,-0.295033,-0.373909,0.0394383,0.00251959,0.00101892,0.0125243
7,0.0967597,0.0967597,-0.193519,-0.212883,0.0096817,0.000315324,0.0001434,0.00287342
8,0.0535605,0.0535605,-0.107121,-0.110114,0.00149633,2.81807e-05,1.84628e-05,0.000677501
9,0.0226798,0.0226798,-0.0453596,-0.0455617,0.000101004,2.21882e-06,2.09614e-06,0.000150784
10,0.00520308,0.00520308,-0.0104062,-0.0104081,9.48008e-07,7.45815e-08,7.89378e-08,1.55978e-05
