,u_v,d_v,L_m,L_p,s_p,c_p,b_p,g
0,7.36886e-05,3.23205e-05,1.6579e-05,0.00610552,-0.00249787,-0.00190341,-0.00138519,0.0387471
1,0.000332643,0.000142434,6.26044e-05,0.0114222,-0.00462078,-0.00338573,-0.00237311,0.0774803
2,0.00147485,0.000612756,0.000212747,0.019844,-0.0078064,-0.00531189,-0.00361533,0.145583
3,0.00636268,0.00255249,0.000607415,0.0303472,-0.0111486,-0.00646631,-0.0042528,0.255565
4,0.0261515,0.0101171,0.00126981,0.0360445,-0.0106605,-0.00296301,-0.00133542,0.398166
5,0.0971029,0.0362831,0.00141102,0.0255008,-0.00123482,0.0094924,0.00738966,0.452958
6,0.256281,0.0881915,0.00031886,0.00821289,0.00280852,0.010487,0.00614688,0.188083
7,0.206857,0.0568957,2.80931e-05,0.00125108,0.000277181,0.00152012,0.000784797,0.0317957
8,0.0854637,0.0169998,2.32387e-06,6.54856e-05,2.66237e-05,0.000128274,6.35436e-05,0.00431129
9,0.016263,0.00195303,6.54002e-08,-1.35533e-06,1.64056e-06,4.11843e-06,2.04958e-06,0.000283793
10,0.000314716,1.26354e-05,5.85235e-11,-9.18616e-09,4.59446e-09,5.61343e-09,2.92088e-09,1.24193e-06
