,u_v,d_v,L_m,L_p,s_p,c_p,b_p,g
0,0.795605,0.795605,-1.59121,-6.09929,2.25461,2.19011,-5.76446e-17,2.33779
1,0.619321,0.619321,-1.23864,-4.29439,1.528,1.26339,-4.30131e-17,1.26567
2,0.459043,0.459043,-0.918086,-3.09813,1.09006,0.705802,-2.88307e-17,0.814608
3,0.304468,0.304468,-0.608935,-1.7934,0.592241,0.234944,-4.07551e-17,0.377271
4,0.24192,0.24192,-0.48384,-1.05552,0.285841,0.0692683,-5.64749e-17,0.149108
5,0.194746,0.194746,-0.389492,-0.621927,0.116218,0.0165225,-6.21668e-17,0.0474591
6,0.144094,0.144094,-0.288188,-0.364244,0.0380283,0.00296008,-1.91952e-17,0.0122213
7,0.0938127,0.0938127,-0.187625,-0.206065,0.00921953,0.000364335,-1.80294e-17,0.00276077
8,0.0514881,0.0514881,-0.102976,-0.105791,0.00140743,2.92843e-05,-6.29152e-18,0.000645757
9,0.0215628,0.0215628,-0.0431256,-0.0433127,9.35618e-05,1.84573e-06,-7.87251e-18,0.000142588
10,0.00485875,0.00485875,-0.00971749,-0.00971919,8.46895e-07,5.10769e-08,-1.19691e-18,1.45202e-05
