,u_v,d_v,L_m,L_p,s_p,c_p,b_p,g
0,4.8299e-05,1.85623e-05,-5.63785e-18,0.00351395,-0.00123769,-0.000718404,0,0.0141314
1,0.000235248,9.01212e-05,-1.77809e-17,0.00777482,-0.00285233,-0.00181725,0,0.0422012
2,0.00112241,0.000429278,-1.73472e-17,0.0160129,-0.00594895,-0.00389145,0,0.109303
3,0.00520008,0.00198227,-1.73472e-17,0.0287636,-0.0103341,-0.00628636,0,0.240841
4,0.0229041,0.00867802,-6.93889e-18,0.0401667,-0.0124285,-0.00477363,0,0.421985
5,0.0915017,0.0342043,-2.08167e-17,0.0339161,-0.00470693,0.00754418,0,0.494932
6,0.26493,0.0918934,4.16334e-16,0.00853465,0.00338597,0.0110393,0,0.204994
7,0.226643,0.0629325,9.15934e-16,0.000665843,0.000721949,0.00177682,0,0.0339654
8,0.0976164,0.0196454,-3.81639e-17,-1.89383e-05,8.33719e-05,0.000157275,0,0.00437758
9,0.019536,0.00237942,5.59448e-17,-4.18266e-06,3.45118e-06,4.81103e-06,0,0.000263264
10,0.000417323,1.70421e-05,-1.45012e-18,-7.66795e-09,4.10819e-09,4.3824e-09,0,9.83331e-07
